site,start,end,lat,lon
warrenwilson,2016-02-18,2019-03-31,35.6069,-82.4421
turkeypointenf74,2011-11-05,2019-03-31,42.70736,-80.3485
bernatchez,2015-02-10,2018-01-01,48.859,-70.339
spruceT4P04E,2015-05-27,2019-03-31,47.5052,-93.454
spruceT0P06,2015-05-27,2019-03-31,47.5051,-93.4535
NEON.D03.OSBS.DP1.00033,2016-09-16,2019-03-31,29.689282,-81.993431
harvardhemlock,2012-05-11,2019-03-31,42.539,-72.18
gaspard,2016-01-15,2018-01-15,48.966,-71.466
sagehen,2017-07-08,2019-03-31,39.4315,-120.2398
NEON.D17.SOAP.DP1.00033,2017-08-04,2019-03-31,37.03337,-119.26219
harvardhemlock2,2015-06-07,2019-03-31,42.539407,-72.177976
thompsonfarm2N,2008-10-14,2010-04-11,43.1086,-70.9505
tfforest,2016-09-10,2019-03-31,43.1086,-70.9505
usmpj,2013-07-11,2019-03-31,34.43845,-106.2543606
missouriozarks,2011-12-06,2019-03-31,38.7441,-92.2
howland1,2008-01-30,2010-05-17,45.2041,-68.7403
gaspard,2015-01-30,2016-01-24,48.966,-71.466
NEON.D19.DEJU.DP1.00033,2016-11-06,2019-02-04,63.88112,-145.75136
nevcanspg2a,2018-03-31,2019-03-31,38.8921,-114.3521
NEON.D10.RMNP.DP1.00033,2016-09-20,2019-03-31,40.275903,-105.545955
groundhog,2008-07-24,2012-06-03,48.2174,-82.1555
spruceA0EMI,2016-01-02,2019-03-31,47.5049,-93.4541
oregonYP,2011-08-14,2015-04-28,44.32384,-121.605993
spruceT4P13,2015-05-27,2019-03-31,47.5057,-93.453
nevcanspg3a,2016-06-23,2019-03-31,38.8898,-114.3314
NEON.D01.HARV.DP1.00033,2016-09-14,2019-03-31,42.536911,-72.17265
sequoia,2011-10-03,2016-02-16,36.5658333333,-118.777222222
spruceT9P17,2015-05-27,2019-03-31,47.506,-93.4527
oregonMP,2011-03-17,2019-03-31,44.4523,-121.5574
sabinar,2016-03-25,2019-03-31,36.99555,-6.513228
NEON.D16.ABBY.DP1.00033,2017-03-01,2019-03-31,45.76243,-122.33033
NEON.D03.JERC.DP1.00033,2016-11-11,2019-01-08,31.194839,-84.468623
harvardhemlock,2010-03-10,2012-11-06,42.539,-72.18
spruceT6P16E,2015-05-27,2019-03-31,47.5061,-93.4532
mistassibi,2015-02-12,2017-12-31,49.732,-71.948
thompsonfarm2N,2010-02-16,2017-03-08,43.1086,-70.9505
spruceT2P11E,2015-05-27,2019-03-31,47.5053,-93.4527
laurentides,2013-10-03,2019-03-31,45.9881,-74.0055
spruceA0P07,2015-12-31,2019-03-31,47.50493,-93.45314
vancouverisland,2011-09-03,2015-10-05,49.53624,-124.901994
chibougamau,2008-02-21,2011-08-28,49.6924,-74.342
niwot3,2015-04-17,2019-03-31,40.03286358,-105.54697017
niwot2,2009-04-24,2015-10-14,40.03286358,-105.54697017
arbutuslakeinlet,2018-02-22,2019-03-31,43.99336,-74.24527
NEON.D08.TALL.DP1.00033,2016-09-17,2019-03-31,32.95047,-87.393259
turkeypointenf39,2011-11-04,2019-03-31,42.7102,-80.3573
laclaflamme,2014-06-12,2019-03-31,47.322678,-71.121453
sweetbriar,2014-06-12,2019-03-31,37.57341,-79.08482
umichbiological,2013-12-29,2019-03-31,45.55984,-84.71382
NEON.D05.STEI.DP1.00033,2017-08-01,2019-03-31,45.50894,-89.58637
niwot5,2016-04-07,2019-03-31,40.03286358,-105.54697017
niwotridge,2007-10-03,2010-11-28,40.03286358,-105.54697017
harvardbarn,2011-05-05,2019-03-31,42.53532,-72.1899
goodnow,2014-09-03,2019-03-31,43.96018,-74.20994
spruceT2P20,2015-05-27,2019-03-31,47.5064,-93.4532
NEON.D16.WREF.DP1.00033,2017-11-03,2019-03-31,45.82049,-121.95191
canadaOBS,2011-04-06,2019-03-31,53.98717,-105.11779
howland1,2009-12-28,2019-03-31,45.2041,-68.7403
spruceT6P08,2015-05-27,2019-03-31,47.5056,-93.4539
harvardbarn2,2011-12-29,2019-03-31,42.53532,-72.1899
sylvania,2015-05-23,2019-02-02,46.242,-89.348
austincary,2015-10-14,2019-03-31,29.738,-82.2188
groundhog,2011-12-07,2014-08-15,48.2174,-82.1555
bozeman,2016-08-13,2019-03-31,45.783056,-110.777778
spruceT0P19E,2015-05-27,2019-03-31,47.5065,-93.4535
grca1pj,2017-05-22,2019-03-31,36.0241,-112.2211
turkeypointenf02,2012-02-06,2019-03-31,42.6617,-80.5599
oregonYP,2014-12-19,2019-03-31,44.32384,-121.605993
vancouverisland,2016-12-16,2019-03-31,49.53624,-124.901994
windriver,2014-05-27,2017-04-10,45.8212833,-121.9520833
NEON.D02.BLAN.DP1.00033,2016-09-15,2019-03-31,39.033698,-78.041788
arbutuslakeinlet,2015-05-21,2018-03-08,43.99336,-74.24527
daniel,2015-02-13,2017-01-05,50.696,-72.183
windriver,2010-02-05,2014-11-22,45.8212833,-121.9520833
NEON.D01.BART.DP1.00033,2016-09-15,2019-03-31,44.063869,-71.287375
spruceT9P10E,2015-05-27,2019-03-31,47.5054,-93.4532
mirage,2016-03-07,2017-09-02,53.798,-72.867
huyckpreserveny,2015-01-06,2019-03-31,42.5266,-74.1587
nevcansnk3a,2016-06-22,2019-03-31,39.0099,-114.3095
howland1,2006-10-03,2008-06-20,45.2041,-68.7403
nevcanspg4a,2016-06-22,2019-03-31,38.9061,-114.3089
